"Datum","Baden-Wuerttemberg","Bayern","Berlin","Brandenburg","Bremen","Hamburg","Hessen","Mecklenburg-Vorpommern","Niedersachsen","Nordrhein-Westfalen","Rheinland-Pfalz","Saarland","Sachsen","Sachsen-Anhalt","Schleswig-Holstein","Thueringen"
2014-01-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014-01-06,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-04-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014-04-20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014-05-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014-05-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014-06-08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014-06-19,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0
2014-08-15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-10-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014-10-31,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1
2014-11-01,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2014-11-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-12-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014-12-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015-01-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015-01-06,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015-04-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015-04-05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015-05-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015-05-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015-05-24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015-06-04,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0
2015-08-15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
