date;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thueringen;1=yes;0=no
01.01.13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
02.01.13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
03.01.13;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;
04.01.13;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;;
05.01.13;1;1;0;0;1;0;1;0;1;1;0;1;0;0;1;1;;
06.01.13;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;;
07.01.13;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;
08.01.13;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;
09.01.13;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;
10.01.13;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;
11.01.13;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;
12.01.13;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;
13.01.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
14.01.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
15.01.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
16.01.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
17.01.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
18.01.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19.01.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20.01.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
21.01.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
22.01.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
