"Datum","Warengruppe","Umsatz","KielerWoche","Bewoelkung","Temperatur","Windgeschwindigkeit","Windspitze","Niederschlagsmenge","Niederschlagsform","Sonnenscheindauer","Relative_Feuchte","Max-Temperatur","Min_Temperatur","Min_Temperatur_Boden","Uebernachtungen","Ankuenfte","Aufenthaltsdauer","Schleswig-Holstein.Feiertage","Baden-Wuerttemberg.Ferien","Bayern.Ferien","Berlin.Ferien","Brandenburg.Ferien","Bremen.Ferien","Hamburg.Ferien","Hessen.Ferien","Mecklenburg-Vorpommern.Ferien","Niedersachsen.Ferien","Nordrhein-Westfalen.Ferien","Rheinland-Pfalz.Ferien","Saarland.Ferien","Sachsen.Ferien","Sachsen-Anhalt.Ferien","Schleswig-Holstein.Ferien","Thueringen.Ferien","Wettergruppe","Wochentag","Warenname","Monat","KalenderWoche","Wochenende","Windchill"
2013-07-01,1,148.828353112183,0,6,17.8375,15,12.4,0.3,4,6,84,20.1,11.5,9.1,68368,34429,1.98576781201894,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Montag","Brot","Jul","27",0,16.0703621989023
2013-07-02,1,159.79375714468,0,3,17.3125,10,8,0.1,4,8.5,72,19.9,10.9,8.7,68368,34429,1.98576781201894,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,"Nischt","Dienstag","Brot","Jul","27",0,15.8857870964751
2013-07-03,1,111.885593514353,0,7,21.075,6,6.3,10.2,4,2,84,24.2,15.1,13.7,68368,34429,1.98576781201894,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,"Regen","Mittwoch","Brot","Jul","27",0,21.2906693213017
2013-07-04,1,168.864940979931,0,7,18.85,7,8.3,0,4,0.2,88,19.9,13.5,12,68368,34429,1.98576781201894,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Donnerstag","Brot","Jul","27",0,18.3063715250658
2013-07-05,1,171.280754117955,0,5,19.975,12,9.3,0,0,8.1,78,22.2,10.2,7.9,68368,34429,1.98576781201894,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,"Nischt","Freitag","Brot","Jul","27",0,19.2323597494151
2013-07-06,1,174.552359998476,0,0,18.9625,8,6.1,0,0,16,73,20.6,7.6,6.2,68368,34429,1.98576781201894,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,"Nischt","Samstag","Brot","Jul","27",1,18.3116650598044
2013-07-07,1,92.6377553788373,0,0,21.375,9,6.2,0,0,15.1,75,22.3,9,7,68368,34429,1.98576781201894,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,"Nischt","Sonntag","Brot","Jul","27",1,21.354373391894
2013-07-08,1,135.500244042392,0,0,22.725,10,8,0,0,14.5,66,24.6,10.6,9.2,68368,34429,1.98576781201894,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,"Dunst, Rauch, Staub oder Sand","Montag","Brot","Jul","28",0,23.0572399161929
2013-07-09,1,136.048382778344,0,0,23.275,8,8.6,0,4,14.5,73,25.2,10.7,8.9,68368,34429,1.98576781201894,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,"Nischt","Dienstag","Brot","Jul","28",0,23.9192368234362
2013-07-10,1,135.132314289581,0,2,19.6875,13,12.1,0,0,11.4,72,22,12.4,10.2,68368,34429,1.98576781201894,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,"Dunst, Rauch, Staub oder Sand","Mittwoch","Brot","Jul","28",0,18.7615282177572
